name,adjoe,adjde,barthag,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norfolk St.",102.61886,112.12185,0.26532131624119,8–2,8,10,52.9,49.6,40.7,46.3,16.4,23,30.2,29.3,67.5,53.2,45.7,34.9,36.7,11.3,7,51.9,61.1,33.2,41.7,67,,,,2024,,,,-1.6,69.3,77.3
Chattanooga,112.55504146841,110.81580667711,0.54465290895398,6–4,6,10,55.1,49.6,35,23.6,17.4,13,28.9,30.4,67,52,44.7,38.7,37.4,8.7,9.9,51,49.2,51.7,43.3,67.3,,,,2024,,,,-2.7,76.8,71.8
"Georgia Southern",108.53155575394,112.31515603952,0.40273545632839,4–6,4,10,51.9,50.4,29.6,51.6,17.2,16.9,31.2,28.9,71,52.4,52.2,34.1,31.1,10.9,11.7,38.1,42.6,41.2,32.2,69.8,,,,2024,,,,-4.5,77.8,73.7
"Northern Arizona",99.882780480475,114.25992726432,0.17559176489467,4–6,4,10,50.8,52.7,31.3,33.1,18.2,13,26.5,29.4,68.3,52,54.6,32.1,32,7.5,9.4,51.9,51,32.3,28.2,69.2,,,,2024,,,,-5,73.5,70.8
Nebraska,118.15814468085,91.917515957447,0.94725112348091,7–3,7,10,53.3,44.8,28.8,32,14.2,15.8,27.3,29.9,70.4,54.9,43.9,34.1,30.9,5.6,10.9,53.2,49.6,43.4,39.3,70.1,,,,2024,,,,0.9,75.7,72.7
Yale,109.32665001153,102.62335434405,0.67429125078465,6–4,6,10,52.9,51.7,27.7,35,14.1,17.3,24.9,26.2,65.2,52.2,51.1,36.1,34.9,10,8.6,60.4,56.9,36,42.4,64.8,,,,2024,,,,-1.1,65,71.4
"Tennessee Martin",107.51097057056,112.13226271075,0.38131008877891,8–2,8,10,51,48.8,36,22.5,13.3,12.8,27.1,25.8,72.7,48.4,48,36.6,33.3,7.4,9.7,46.9,51.1,39,40.9,73.5,,,,2024,,,,-1.1,80.8,72
"Morehead St.",108.90644316454,105.83530501434,0.58150579554932,6–4,6,10,55.3,47.5,27,27.5,16.2,15.6,29.1,25.4,65.9,53.2,44.9,38.4,35.1,9.4,11.2,54.4,41.8,48.3,33.3,64.4,,,,2024,,,,-2.5,70.1,81.6
Tennessee,112.35602680944,86.602008788579,0.95230327132925,8–2,8,10,48.7,45.4,34.8,33.3,15.6,19.3,32.7,25.6,70.6,47.6,45.1,33.5,30.4,14,9.2,62.4,49.8,42.4,46.1,70.7,,,,2024,,,,2.5,75.5,71.1
"Texas St.",103.17397181818,104.22534505051,0.47088414495093,6–4,6,10,49.1,50.5,46.3,38.7,18.6,21.3,31,31.7,68.1,48.8,48.9,33.3,35.8,7.5,7.9,41.5,44.9,23.1,34.7,67,,,,2024,,,,-2.6,72.6,73.6
"Jackson St.",101.78462761525,115.42202634752,0.19062327743838,7–3,7,10,48.9,52.2,35.4,26,16.5,18.2,39.1,29.9,66.6,47.6,52.2,34.7,34.8,6.7,8.6,39.8,51.3,29.5,40.3,65.9,,,,2024,,,,-2.6,70.6,72.7
Mississippi,109.61646515464,105.76647256586,0.60136867904884,2–8,2,10,48.7,53.9,40.9,39.3,17.5,15.9,30.5,37.7,67.9,48.8,53.4,32.3,36.5,13.5,9,56.5,56.4,38.5,36.3,68.2,,,,2024,,,,-3.2,68.7,71.2
Wyoming,110.22706487528,106.67519619048,0.59306937254344,3–7,3,10,51.2,53.4,34.7,32.6,14.6,15.9,25.5,26.7,66.6,50.4,52,35,37,5.7,9.6,46,51.3,39.3,41.7,67.6,,,,2024,,,,-3.8,71.6,75.3
Minnesota,116.91753,107.82881,0.7172021243307,4–6,4,10,53.3,56.5,35.2,28.4,17.7,14.8,29,27.9,67.1,52.6,55.6,36.3,38.7,10.2,8.9,56.8,63.3,36.5,34.3,66.7,,,,2024,,,,-1,70.6,77
Illinois,133.0012,105.26803,0.93638970684476,9–1,9,10,57.3,51.9,40.2,26.2,13.2,11.3,36.2,29.1,68.8,57.5,49.2,37.9,38.7,7.3,5.9,46.4,50.2,35.4,30.6,69,,,,2024,,,,3.8,75.7,75.9
UTEP,102.19799080808,99.494955454545,0.57646008819863,5–5,5,10,49.7,52.6,33.2,45.7,19.8,24.9,29.6,30.5,68.9,49.4,52.8,33.5,34.9,6.8,10.5,49.4,49.8,31,37.4,68.3,,,,2024,,,,-3.1,69.3,70.2
"Loyola Chicago",104.05391933999,93.533378645245,0.77308172733995,7–3,7,10,48.7,45.5,32.8,38.9,18.3,18.9,33.7,24.5,67.8,47.6,45.9,33.6,29.9,15,16.5,64.9,48.9,40.3,35.8,69,,,,2024,,,,-0.2,65.8,79.4
Texas,115.3909,94.78374,0.90571201492348,5–5,5,10,49.4,48,32,40.5,15.5,18.5,26.4,30.6,68.8,52,48.5,29.8,31.4,8.4,7.2,47.9,47.9,35.2,34.5,69.5,,,,2024,,,,0.5,77.4,76.3
"Maryland Eastern Shore",90.940091844341,109.36905426144,0.10697104886457,3–7,3,10,46.1,48.8,40.9,37.4,20.9,19.9,29.9,33.9,67.4,49.9,49.7,26.2,31.2,8.6,9.9,43.2,42.2,35.3,33.7,67.3,,,,2024,,,,-6.4,68.2,71.4
"Western Illinois",94.897011356021,103.74277107616,0.26407285810087,6–4,6,10,44.3,45.6,36,20.5,18.8,14.7,36.5,30.2,66.9,45.9,45,27.4,31.3,11.1,8.9,53,42.2,33.4,29.2,66.5,,,,2024,,,,-3.4,61.3,76.6
"Fairleigh Dickinson",92.195606618731,109.80962961892,0.11809331857129,5–5,5,10,46,50.4,34.9,31.3,17.3,19,27.2,27.8,72.6,45.2,50.3,31.6,33.8,7.7,10.1,60.1,53,37.8,35.3,73.5,,,,2024,,,,-4.4,67.1,67.2
